Model,Base Acc,Top-k Acc,Acc Diff (%),Base F1,Top-k F1,F1 Diff (%)
HGNN,0.7333333492279053,0.7711111307144165,3.78,0.7318022886204705,0.7671076630874438,3.53
HGNNP,0.699999988079071,0.7400000095367432,4.0,0.6979580472428417,0.7373737373737373,3.94
UniGCN,0.7288888692855835,0.742222249507904,1.33,0.7279808149674966,0.7354497354497354,0.75
